version,seed,train_entities,train_relations,train_triples,valid_entities,valid_relations,valid_triples,test_entities,test_relations,test_triples,total_triples
fb237_v1,7001,1093,142,1997,287,56,193,288,70,214,2404
fb237_v1,7002,1093,142,1979,286,64,211,298,75,214,2404
fb237_v1,7003,1093,142,1988,286,61,204,297,75,212,2404
fb237_v1,7004,1093,142,1980,294,62,214,289,73,210,2404
fb237_v1,7005,1093,142,1981,282,63,213,283,59,210,2404
fb237_v1,7006,1093,142,1987,285,70,205,280,66,212,2404
fb237_v1,7007,1093,142,1986,293,68,208,284,64,210,2404
fb237_v1,7008,1093,142,1989,285,63,208,277,69,207,2404
fb237_v1,7009,1093,142,2000,280,64,197,281,60,207,2404
fb237_v1,7010,1093,142,1991,285,71,209,288,72,204,2404
fb237_v2,7001,1660,172,4162,559,101,461,546,96,469,5092
fb237_v2,7002,1660,172,4145,571,103,467,563,102,480,5092
fb237_v2,7003,1660,172,4148,560,100,467,571,110,477,5092
fb237_v2,7004,1660,172,4164,553,101,458,587,112,470,5092
fb237_v2,7005,1660,172,4141,575,99,475,556,94,476,5092
fb237_v2,7006,1660,172,4155,555,102,470,553,98,467,5092
fb237_v2,7007,1660,172,4140,555,101,467,574,105,485,5092
fb237_v2,7008,1660,172,4148,551,100,471,558,97,473,5092
fb237_v2,7009,1660,172,4161,569,91,467,577,100,464,5092
fb237_v2,7010,1660,172,4160,551,100,460,552,92,472,5092
fb237_v3,7001,2501,183,7398,986,124,865,1009,128,874,9137
fb237_v3,7002,2501,183,7401,983,120,856,997,118,880,9137
fb237_v3,7003,2501,183,7396,962,112,863,976,125,878,9137
fb237_v3,7004,2501,183,7371,977,119,875,983,125,891,9137
fb237_v3,7005,2501,183,7392,973,125,873,990,122,872,9137
fb237_v3,7006,2501,183,7386,996,122,870,986,124,881,9137
fb237_v3,7007,2501,183,7401,981,123,873,1000,126,863,9137
fb237_v3,7008,2501,183,7392,995,127,866,1007,121,879,9137
fb237_v3,7009,2501,183,7399,994,120,870,984,126,868,9137
fb237_v3,7010,2501,183,7393,1012,120,876,971,120,868,9137
