method,model,aggregation,base_version,n_seeds,train_acc_mean,train_acc_std,valid_acc_mean,valid_acc_std,mrr_mean,mrr_std,hits_1_mean,hits_1_std,hits_3_mean,hits_3_std,hits_10_mean,hits_10_std,conformal_cov_a0.01_mean,conformal_cov_a0.01_std,conformal_size_a0.01_mean,conformal_size_a0.01_std,conformal_cov_a0.05_mean,conformal_cov_a0.05_std,conformal_size_a0.05_mean,conformal_size_a0.05_std,conformal_cov_a0.1_mean,conformal_cov_a0.1_std,conformal_size_a0.1_mean,conformal_size_a0.1_std
feature_translation,qwen,sum,fb237_v1_ind,10,0.634123,0.005352,0.516391,0.036177,0.612272,0.026002,0.504307,0.028102,0.666563,0.034867,0.816101,0.038811,0.992366,0.008756,107.98501,18.002059,0.952997,0.023858,32.25843,12.114068,0.899081,0.035767,13.05189,3.517998
lr_concat,qwen,sum,fb237_v1_ind,10,0.916945,0.002743,0.687408,0.023768,0.805799,0.020304,0.690087,0.028563,0.906196,0.020363,0.97195,0.017005,0.995731,0.006026,46.28731,27.092752,0.948057,0.023152,4.57824,1.162934,0.915757,0.028676,2.39074,0.288696
lr_subtract,qwen,sum,fb237_v1_ind,10,0.842746,0.004992,0.635976,0.031365,0.743416,0.024615,0.632926,0.031442,0.834685,0.03015,0.910942,0.021741,0.989981,0.008618,88.98163,35.227593,0.952317,0.01963,18.52517,5.684534,0.906099,0.031946,6.29966,1.199036
rf_concat,qwen,sum,fb237_v1_ind,10,0.905423,0.004047,0.644114,0.025453,0.753699,0.022709,0.63487,0.027695,0.854326,0.032987,0.932434,0.022554,0.997563,0.006216,116.54887,41.843238,0.960363,0.016973,12.54093,3.570692,0.915274,0.033954,5.44444,1.512801
rf_subtract,qwen,sum,fb237_v1_ind,10,0.877511,0.006146,0.534895,0.019814,0.637604,0.032802,0.512929,0.038968,0.725204,0.037403,0.842937,0.032154,1,0,142,0,0.966622,0.031074,77.70796,55.679982,0.900563,0.029853,16.94117,2.649476
lgbm_concat,qwen,sum,fb237_v1_ind,10,0.937821,0.002419,0.644349,0.029444,0.760816,0.020941,0.6486,0.031094,0.860575,0.015583,0.914331,0.020266,0.995731,0.004714,105.69767,14.407531,0.951423,0.024524,23.95199,12.480111,0.900591,0.030658,6.91761,2.002866
lgbm_subtract,qwen,sum,fb237_v1_ind,10,0.938371,0.002516,0.54777,0.02988,0.66059,0.020501,0.531027,0.026704,0.764726,0.030335,0.862908,0.020805,0.993301,0.007215,113.75695,20.033106,0.952381,0.017727,48.03577,14.640701,0.901079,0.02974,20.56138,7.076138
DistMult,qwen,sum,fb237_v1_ind,10,0.866707,0.020513,0.561444,0.019311,0.704842,0.030576,0.542794,0.036182,0.845923,0.040788,0.924389,0.027209,0.990122,0.01786,109.14366,43.588072,0.948249,0.022497,22.05808,8.229765,0.89448,0.036279,6.4202,2.148207
ComplEx,qwen,sum,fb237_v1_ind,10,0.870545,0.010675,0.560808,0.013473,0.707077,0.035032,0.543688,0.04592,0.85395,0.034908,0.928158,0.024992,0.992951,0.013647,121.36689,33.454709,0.950218,0.02737,18.95548,4.418028,0.901078,0.03971,7.36054,1.891371
RotatE,qwen,sum,fb237_v1_ind,10,0.871968,0.002523,0.560016,0.028265,0.694713,0.023399,0.536017,0.029949,0.834848,0.027847,0.902031,0.024544,1,0,142,0,0.988318,0.036942,129.81121,38.544338,0.898315,0.033275,14.18826,3.579159
IMC,qwen,sum,fb237_v1_ind,10,0.865929,0.010046,0.713057,0.020298,0.813769,0.019743,0.704764,0.022718,0.910525,0.023293,0.974778,0.012824,0.994794,0.00713,30.22731,20.891663,0.952803,0.023251,4.02776,0.961682,0.900556,0.043525,2.2626,0.334149
