method,model,aggregation,version,train_time_s,train_acc,valid_acc,mrr,hits_1,hits_3,hits_10,conformal_cov_a0.01,conformal_size_a0.01,conformal_cov_a0.05,conformal_size_a0.05,conformal_cov_a0.1,conformal_size_a0.1
TyleR,qwen,sum,fb237_v1_ind_seed7001,1018.6,0.78668,0.38342,0.545363,0.38785,0.672897,0.799065,1.0,142.0,1.0,142.0,1.0,142.0
TyleR,qwen,sum,fb237_v1_ind_seed7002,484.2,0.728146,0.364929,0.516266,0.397196,0.579439,0.719626,1.0,142.0,1.0,142.0,1.0,142.0
TyleR,qwen,sum,fb237_v1_ind_seed7003,441.6,0.760563,0.421569,0.437144,0.316038,0.490566,0.683962,1.0,142.0,1.0,142.0,1.0,142.0
TyleR,qwen,sum,fb237_v1_ind_seed7004,678.1,0.785859,0.294393,0.477727,0.352381,0.542857,0.67619,1.0,142.0,1.0,142.0,1.0,142.0
TyleR,qwen,sum,fb237_v1_ind_seed7005,522.1,0.734478,0.380282,0.487309,0.32381,0.609524,0.795238,1.0,142.0,1.0,142.0,1.0,142.0
TyleR,qwen,sum,fb237_v1_ind_seed7006,437.4,0.779567,0.336585,0.479904,0.34434,0.575472,0.693396,1.0,142.0,1.0,142.0,1.0,142.0
TyleR,qwen,sum,fb237_v1_ind_seed7007,1214.9,0.826284,0.423077,0.50496,0.357143,0.614286,0.738095,1.0,142.0,1.0,142.0,1.0,142.0
TyleR,qwen,sum,fb237_v1_ind_seed7008,446.8,0.654098,0.326923,0.488161,0.333333,0.584541,0.768116,1.0,142.0,1.0,142.0,1.0,142.0
TyleR,qwen,sum,fb237_v1_ind_seed7009,656.2,0.7485,0.406091,0.475812,0.333333,0.550725,0.73913,1.0,142.0,1.0,142.0,1.0,142.0
TyleR,qwen,sum,fb237_v1_ind_seed7010,705.4,0.747363,0.334928,0.551538,0.392157,0.651961,0.813725,1.0,142.0,1.0,142.0,1.0,142.0
TyleR,qwen,sum,fb237_v2_ind_seed7001,2905.9,0.742912,0.477223,0.643453,0.526652,0.716418,0.852878,1.0,172.0,1.0,172.0,1.0,172.0
TyleR,qwen,sum,fb237_v2_ind_seed7002,3645.3,0.748613,0.471092,0.616303,0.479167,0.708333,0.841667,1.0,172.0,1.0,172.0,1.0,172.0
TyleR,qwen,sum,fb237_v2_ind_seed7003,3425.1,0.750482,0.518201,0.612497,0.486373,0.704403,0.836478,1.0,172.0,1.0,172.0,1.0,172.0
TyleR,qwen,sum,fb237_v2_ind_seed7004,2793.7,0.679635,0.430131,0.58917,0.457447,0.680851,0.823404,1.0,172.0,1.0,172.0,1.0,172.0
TyleR,qwen,sum,fb237_v2_ind_seed7005,3401.8,0.733398,0.507368,0.646508,0.502101,0.766807,0.857143,1.0,172.0,1.0,172.0,1.0,172.0
TyleR,qwen,sum,fb237_v2_ind_seed7006,2914.3,0.738147,0.493617,0.618709,0.471092,0.717345,0.852248,1.0,172.0,1.0,172.0,1.0,172.0
TyleR,qwen,sum,fb237_v2_ind_seed7007,3398.9,0.739614,0.488223,0.64566,0.505155,0.760825,0.861856,1.0,172.0,1.0,172.0,1.0,172.0
TyleR,qwen,sum,fb237_v2_ind_seed7008,3910.3,0.784957,0.5138,0.647252,0.5074,0.754757,0.879493,1.0,172.0,1.0,172.0,1.0,172.0
TyleR,qwen,sum,fb237_v2_ind_seed7009,2380.3,0.753425,0.453961,0.60036,0.478448,0.676724,0.8125,1.0,172.0,1.0,172.0,1.0,172.0
TyleR,qwen,sum,fb237_v2_ind_seed7010,2014.3,0.720673,0.476087,0.637339,0.478814,0.771186,0.872881,1.0,172.0,1.0,172.0,1.0,172.0
TyleR,qwen,sum,fb237_v3_ind_seed7001,5168.1,0.711003,0.500578,0.634772,0.510297,0.71968,0.867277,1.0,183.0,1.0,183.0,1.0,183.0
TyleR,qwen,sum,fb237_v3_ind_seed7002,6653.8,0.743683,0.589953,0.673513,0.55,0.75,0.901136,1.0,183.0,1.0,183.0,1.0,183.0
TyleR,qwen,sum,fb237_v3_ind_seed7003,5802.3,0.776095,0.584009,0.678248,0.561503,0.756264,0.872437,1.0,183.0,1.0,183.0,1.0,183.0
TyleR,qwen,sum,fb237_v3_ind_seed7004,6045.5,0.756071,0.56,0.680189,0.563412,0.766554,0.869809,1.0,183.0,1.0,183.0,1.0,183.0
TyleR,qwen,sum,fb237_v3_ind_seed7005,6743.9,0.762716,0.553265,0.665541,0.529817,0.770642,0.883028,1.0,183.0,1.0,183.0,1.0,183.0
TyleR,qwen,sum,fb237_v3_ind_seed7006,7327.4,0.74912,0.586207,0.692791,0.567537,0.795687,0.887628,1.0,183.0,1.0,183.0,1.0,183.0
TyleR,qwen,sum,fb237_v3_ind_seed7007,7937.1,0.77503,0.595647,0.68849,0.557358,0.798378,0.88876,1.0,183.0,1.0,183.0,1.0,183.0
TyleR,qwen,sum,fb237_v3_ind_seed7008,6437.7,0.738095,0.533487,0.673842,0.5438,0.772469,0.881684,1.0,183.0,1.0,183.0,1.0,183.0
TyleR,qwen,sum,fb237_v3_ind_seed7009,7487.4,0.738208,0.564368,0.684849,0.557604,0.779954,0.885945,1.0,183.0,1.0,183.0,1.0,183.0
TyleR,qwen,sum,fb237_v3_ind_seed7010,5471.6,0.725957,0.538813,0.679174,0.546083,0.784562,0.895161,1.0,183.0,1.0,183.0,1.0,183.0
TyleR,roberta,sum,fb237_v1_ind_seed7001,443.8,0.674011,0.336788,0.498565,0.331776,0.607477,0.780374,1.0,142.0,1.0,142.0,1.0,142.0
TyleR,roberta,sum,fb237_v1_ind_seed7002,866.1,0.81051,0.35545,0.528458,0.397196,0.621495,0.766355,1.0,142.0,1.0,142.0,1.0,142.0
TyleR,roberta,sum,fb237_v1_ind_seed7003,797.7,0.71831,0.377451,0.477195,0.320755,0.599057,0.731132,1.0,142.0,1.0,142.0,1.0,142.0
TyleR,roberta,sum,fb237_v1_ind_seed7004,734.4,0.766667,0.364486,0.523946,0.419048,0.6,0.709524,1.0,142.0,1.0,142.0,1.0,142.0
TyleR,roberta,sum,fb237_v1_ind_seed7005,560.8,0.737002,0.42723,0.47915,0.319048,0.604762,0.72381,1.0,142.0,1.0,142.0,1.0,142.0
TyleR,roberta,sum,fb237_v1_ind_seed7006,1324.6,0.83392,0.360976,0.519506,0.386792,0.589623,0.759434,1.0,142.0,1.0,142.0,1.0,142.0
TyleR,roberta,sum,fb237_v1_ind_seed7007,910.1,0.776435,0.365385,0.483914,0.333333,0.571429,0.757143,1.0,142.0,1.0,142.0,1.0,142.0
TyleR,roberta,sum,fb237_v1_ind_seed7008,989.1,0.723982,0.389423,0.516157,0.386473,0.584541,0.758454,1.0,142.0,1.0,142.0,1.0,142.0
TyleR,roberta,sum,fb237_v1_ind_seed7009,1281.7,0.8145,0.411168,0.556881,0.42029,0.647343,0.797101,1.0,142.0,1.0,142.0,1.0,142.0
TyleR,roberta,sum,fb237_v1_ind_seed7010,1158.6,0.790558,0.354067,0.530487,0.367647,0.651961,0.794118,1.0,142.0,1.0,142.0,1.0,142.0
TyleR,roberta,sum,fb237_v2_ind_seed7001,3333.9,0.736425,0.442516,0.625395,0.481876,0.729211,0.865672,1.0,172.0,1.0,172.0,1.0,172.0
TyleR,roberta,sum,fb237_v2_ind_seed7002,3988.5,0.741858,0.460385,0.615859,0.464583,0.739583,0.84375,1.0,172.0,1.0,172.0,1.0,172.0
TyleR,roberta,sum,fb237_v2_ind_seed7003,3346.6,0.74325,0.492505,0.586882,0.450734,0.672956,0.823899,1.0,172.0,1.0,172.0,1.0,172.0
TyleR,roberta,sum,fb237_v2_ind_seed7004,2914.7,0.712536,0.445415,0.602705,0.470213,0.702128,0.821277,1.0,172.0,1.0,172.0,1.0,172.0
TyleR,roberta,sum,fb237_v2_ind_seed7005,3182.9,0.742816,0.522105,0.640022,0.504202,0.745798,0.848739,1.0,172.0,1.0,172.0,1.0,172.0
TyleR,roberta,sum,fb237_v2_ind_seed7006,2190.3,0.704693,0.504255,0.597238,0.441113,0.730193,0.845824,1.0,172.0,1.0,172.0,1.0,172.0
TyleR,roberta,sum,fb237_v2_ind_seed7007,2024.4,0.720048,0.513919,0.638078,0.505155,0.719588,0.859794,1.0,172.0,1.0,172.0,1.0,172.0
TyleR,roberta,sum,fb237_v2_ind_seed7008,3683.8,0.77242,0.498938,0.654674,0.515856,0.763214,0.866808,1.0,172.0,1.0,172.0,1.0,172.0
TyleR,roberta,sum,fb237_v2_ind_seed7009,2727.5,0.724826,0.473233,0.581284,0.43319,0.693966,0.814655,1.0,172.0,1.0,172.0,1.0,172.0
TyleR,roberta,sum,fb237_v2_ind_seed7010,2129.8,0.70601,0.443478,0.615938,0.46822,0.724576,0.838983,1.0,172.0,1.0,172.0,1.0,172.0
TyleR,roberta,sum,fb237_v3_ind_seed7001,9480.2,0.758989,0.557225,0.673359,0.54119,0.787185,0.869565,1.0,183.0,1.0,183.0,1.0,183.0
