model,aggregation,version,k,lambda,bias,seed,valid_acc,test_acc,train_acc,valid_mrr,test_mrr,hits_1,hits_3,hits_10,train_time,convergence
qwen,sum,fb237_v1_ind_seed7001,50,1.0,16,7001,0.6684,0.6355,0.9409,0.7846,0.77,0.6355,0.8925,0.9579,78.1,Reach max iteration 50 | best_iter=47
qwen,sum,fb237_v1_ind_seed7005,50,1.0,16,7005,0.6479,0.5952,0.9414,0.7708,0.7385,0.5952,0.8571,0.9333,66.0,Reach max iteration 50 | best_iter=49
qwen,sum,fb237_v1_ind_seed7009,50,1.0,16,7009,0.6701,0.6618,0.941,0.7829,0.7787,0.6618,0.8841,0.942,65.0,Reach max iteration 50 | best_iter=22
qwen,sum,fb237_v1_ind_seed7001,50,1.0,32,7001,0.6736,0.6495,0.9409,0.8014,0.7757,0.6495,0.8785,0.9626,64.9,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v1_ind_seed7005,50,1.0,32,7005,0.6479,0.5714,0.9414,0.7695,0.7199,0.5714,0.8524,0.9619,65.9,Reach max iteration 50 | best_iter=20
qwen,sum,fb237_v1_ind_seed7009,50,1.0,32,7009,0.6548,0.7101,0.941,0.7748,0.8011,0.7101,0.8792,0.9324,66.0,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v1_ind_seed7001,50,1.0,48,7001,0.6632,0.6308,0.9409,0.7881,0.771,0.6308,0.8972,0.9579,65.0,Reach max iteration 50 | best_iter=45
qwen,sum,fb237_v1_ind_seed7005,50,1.0,48,7005,0.6667,0.5952,0.9414,0.7859,0.7448,0.5952,0.8714,0.9476,66.3,Reach max iteration 50 | best_iter=49
qwen,sum,fb237_v1_ind_seed7009,50,1.0,48,7009,0.665,0.6667,0.941,0.7811,0.778,0.6667,0.8696,0.9372,66.1,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v1_ind_seed7001,50,1.0,64,7001,0.6528,0.6542,0.9409,0.7843,0.7805,0.6542,0.8972,0.9579,66.0,Reach max iteration 50 | best_iter=48
qwen,sum,fb237_v1_ind_seed7005,50,1.0,64,7005,0.6573,0.6143,0.9414,0.7792,0.7593,0.6143,0.881,0.9762,66.7,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v1_ind_seed7009,50,1.0,64,7009,0.6701,0.6667,0.941,0.7939,0.7851,0.6667,0.8792,0.9517,65.3,Reach max iteration 50 | best_iter=48
qwen,sum,fb237_v1_ind_seed7001,50,1.0,80,7001,0.6528,0.6495,0.9409,0.7854,0.775,0.6495,0.8832,0.9579,66.1,Reach max iteration 50 | best_iter=46
qwen,sum,fb237_v1_ind_seed7005,50,1.0,80,7005,0.6667,0.581,0.9414,0.7842,0.74,0.581,0.8667,0.9762,65.9,Reach max iteration 50 | best_iter=38
qwen,sum,fb237_v1_ind_seed7009,50,1.0,80,7009,0.665,0.6377,0.941,0.7871,0.7677,0.6377,0.8889,0.9565,65.4,Reach max iteration 50 | best_iter=19
qwen,sum,fb237_v1_ind_seed7001,50,1.0,96,7001,0.6891,0.6168,0.9409,0.8115,0.7618,0.6168,0.8925,0.9626,65.7,Reach max iteration 50 | best_iter=44
qwen,sum,fb237_v1_ind_seed7005,50,1.0,96,7005,0.6854,0.5905,0.9414,0.7876,0.7339,0.5905,0.8476,0.9524,66.5,Reach max iteration 50 | best_iter=12
qwen,sum,fb237_v1_ind_seed7009,50,1.0,96,7009,0.6447,0.6715,0.941,0.7741,0.7835,0.6715,0.8792,0.9372,66.9,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v1_ind_seed7001,50,5.0,16,7001,0.6736,0.6495,0.9409,0.7984,0.7808,0.6495,0.9065,0.9579,65.8,Reach max iteration 50 | best_iter=32
qwen,sum,fb237_v1_ind_seed7005,50,5.0,16,7005,0.6573,0.5667,0.9414,0.7759,0.7245,0.5667,0.8714,0.9476,66.4,Reach max iteration 50 | best_iter=16
qwen,sum,fb237_v1_ind_seed7009,50,5.0,16,7009,0.6751,0.6763,0.941,0.786,0.7859,0.6763,0.8696,0.9517,66.0,Reach max iteration 50 | best_iter=24
qwen,sum,fb237_v1_ind_seed7001,50,5.0,32,7001,0.6995,0.6215,0.9409,0.8153,0.7639,0.6215,0.8785,0.9673,65.7,Reach max iteration 50 | best_iter=31
qwen,sum,fb237_v1_ind_seed7005,50,5.0,32,7005,0.6667,0.5905,0.9414,0.7841,0.7478,0.5905,0.8905,0.981,65.9,Reach max iteration 50 | best_iter=47
qwen,sum,fb237_v1_ind_seed7009,50,5.0,32,7009,0.6447,0.6812,0.941,0.7719,0.7915,0.6812,0.8841,0.9469,66.0,Reach max iteration 50 | best_iter=32
qwen,sum,fb237_v1_ind_seed7001,50,5.0,48,7001,0.6995,0.6308,0.9409,0.8148,0.7737,0.6308,0.9159,0.9673,66.0,Reach max iteration 50 | best_iter=18
qwen,sum,fb237_v1_ind_seed7005,50,5.0,48,7005,0.6808,0.5952,0.9414,0.795,0.7556,0.5952,0.9095,0.9667,66.5,Reach max iteration 50 | best_iter=22
qwen,sum,fb237_v1_ind_seed7009,50,5.0,48,7009,0.6599,0.6473,0.941,0.7866,0.7725,0.6473,0.8792,0.9517,66.2,Reach max iteration 50 | best_iter=35
qwen,sum,fb237_v1_ind_seed7001,50,5.0,64,7001,0.6684,0.6355,0.9409,0.7917,0.772,0.6355,0.9019,0.972,65.7,Reach max iteration 50 | best_iter=25
qwen,sum,fb237_v1_ind_seed7005,50,5.0,64,7005,0.6714,0.6,0.9414,0.7879,0.755,0.6,0.8952,0.9714,66.7,Reach max iteration 50 | best_iter=37
qwen,sum,fb237_v1_ind_seed7009,50,5.0,64,7009,0.6802,0.6812,0.941,0.7961,0.7933,0.6812,0.8841,0.9517,66.1,Reach max iteration 50 | best_iter=48
qwen,sum,fb237_v1_ind_seed7001,50,5.0,80,7001,0.6943,0.6542,0.9409,0.8185,0.784,0.6542,0.9159,0.9626,66.3,Reach max iteration 50 | best_iter=41
qwen,sum,fb237_v1_ind_seed7005,50,5.0,80,7005,0.6714,0.6048,0.9414,0.7858,0.7544,0.6048,0.8857,0.9857,65.6,Reach max iteration 50 | best_iter=13
qwen,sum,fb237_v1_ind_seed7009,50,5.0,80,7009,0.665,0.6715,0.941,0.7915,0.7855,0.6715,0.8937,0.9469,65.4,Reach max iteration 50 | best_iter=49
qwen,sum,fb237_v1_ind_seed7001,50,5.0,96,7001,0.6943,0.6636,0.9409,0.8176,0.7907,0.6636,0.9065,0.9766,65.1,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v1_ind_seed7005,50,5.0,96,7005,0.6854,0.5762,0.9414,0.7908,0.7398,0.5762,0.919,0.9762,66.4,Reach max iteration 50 | best_iter=11
qwen,sum,fb237_v1_ind_seed7009,50,5.0,96,7009,0.665,0.6618,0.941,0.793,0.7798,0.6618,0.8696,0.9565,65.9,Reach max iteration 50 | best_iter=21
qwen,sum,fb237_v1_ind_seed7001,50,10.0,16,7001,0.6632,0.6542,0.9409,0.7915,0.7845,0.6542,0.8972,0.9533,66.0,Reach max iteration 50 | best_iter=38
qwen,sum,fb237_v1_ind_seed7005,50,10.0,16,7005,0.6667,0.581,0.9414,0.7855,0.736,0.581,0.8762,0.9571,66.4,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v1_ind_seed7009,50,10.0,16,7009,0.6701,0.6522,0.941,0.7912,0.7775,0.6522,0.8937,0.942,66.5,Reach max iteration 50 | best_iter=30
qwen,sum,fb237_v1_ind_seed7001,50,10.0,32,7001,0.7047,0.6402,0.9409,0.82,0.778,0.6402,0.8972,0.9766,66.1,Reach max iteration 50 | best_iter=40
qwen,sum,fb237_v1_ind_seed7005,50,10.0,32,7005,0.662,0.5952,0.9414,0.7854,0.7492,0.5952,0.9048,0.9762,66.4,Reach max iteration 50 | best_iter=15
qwen,sum,fb237_v1_ind_seed7009,50,10.0,32,7009,0.6599,0.6957,0.941,0.7876,0.8078,0.6957,0.9082,0.9614,65.9,Reach max iteration 50 | best_iter=28
qwen,sum,fb237_v1_ind_seed7001,50,10.0,48,7001,0.6943,0.6355,0.9409,0.8125,0.7788,0.6355,0.9206,0.9673,66.0,Reach max iteration 50 | best_iter=14
qwen,sum,fb237_v1_ind_seed7005,50,10.0,48,7005,0.6854,0.5714,0.9414,0.7994,0.7378,0.5714,0.8762,0.9762,66.5,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v1_ind_seed7009,50,10.0,48,7009,0.665,0.6763,0.941,0.7886,0.788,0.6763,0.8792,0.9469,66.2,Reach max iteration 50 | best_iter=10
qwen,sum,fb237_v1_ind_seed7001,50,10.0,64,7001,0.7047,0.6402,0.9409,0.8207,0.781,0.6402,0.9112,0.9766,66.2,Reach max iteration 50 | best_iter=36
qwen,sum,fb237_v1_ind_seed7005,50,10.0,64,7005,0.662,0.5952,0.9414,0.7845,0.7575,0.5952,0.919,0.9762,66.7,Reach max iteration 50 | best_iter=14
qwen,sum,fb237_v1_ind_seed7009,50,10.0,64,7009,0.6701,0.6618,0.941,0.788,0.7931,0.6618,0.9227,0.9662,65.8,Reach max iteration 50 | best_iter=4
qwen,sum,fb237_v1_ind_seed7001,50,10.0,80,7001,0.7098,0.6402,0.9409,0.8213,0.7796,0.6402,0.9112,0.9626,66.4,Reach max iteration 50 | best_iter=42
qwen,sum,fb237_v1_ind_seed7005,50,10.0,80,7005,0.6808,0.5762,0.9414,0.7981,0.748,0.5762,0.9048,0.981,65.9,Reach max iteration 50 | best_iter=32
qwen,sum,fb237_v1_ind_seed7009,50,10.0,80,7009,0.665,0.6667,0.941,0.7904,0.7852,0.6667,0.8889,0.9469,66.4,Reach max iteration 50 | best_iter=49
qwen,sum,fb237_v1_ind_seed7001,50,10.0,96,7001,0.6788,0.6449,0.9409,0.8066,0.7824,0.6449,0.9159,0.9626,66.3,Reach max iteration 50 | best_iter=5
qwen,sum,fb237_v1_ind_seed7005,50,10.0,96,7005,0.6761,0.581,0.9414,0.7939,0.7484,0.581,0.8905,0.9762,66.8,Reach max iteration 50 | best_iter=21
qwen,sum,fb237_v1_ind_seed7009,50,10.0,96,7009,0.6701,0.6618,0.941,0.797,0.7801,0.6618,0.8744,0.9662,66.8,Reach max iteration 50 | best_iter=13
qwen,sum,fb237_v1_ind_seed7001,50,50.0,16,7001,0.6891,0.6542,0.9204,0.8055,0.7941,0.6542,0.9252,0.972,65.6,Reach max iteration 50 | best_iter=11
qwen,sum,fb237_v1_ind_seed7005,50,50.0,16,7005,0.6948,0.6286,0.9071,0.8067,0.7769,0.6286,0.9238,0.9857,66.4,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v1_ind_seed7009,50,50.0,16,7009,0.7056,0.7005,0.898,0.8188,0.8127,0.7005,0.9179,0.9662,65.7,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v1_ind_seed7001,50,50.0,32,7001,0.6995,0.6449,0.9274,0.8197,0.7862,0.6449,0.9206,0.972,66.0,Reach max iteration 50 | best_iter=41
qwen,sum,fb237_v1_ind_seed7005,50,50.0,32,7005,0.6995,0.6476,0.8884,0.8148,0.7803,0.6476,0.9048,0.981,66.4,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v1_ind_seed7009,50,50.0,32,7009,0.665,0.6715,0.924,0.7944,0.7952,0.6715,0.9082,0.971,65.8,Reach max iteration 50 | best_iter=46
qwen,sum,fb237_v1_ind_seed7001,50,50.0,48,7001,0.7358,0.7056,0.8778,0.8334,0.8202,0.7056,0.9252,0.9766,66.3,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v1_ind_seed7005,50,50.0,48,7005,0.7183,0.6667,0.8995,0.8122,0.8004,0.6667,0.9381,0.9762,66.7,Reach max iteration 50 | best_iter=2
