model,aggregation,version,k,lambda,bias,n_seeds,valid_mrr_mean,valid_mrr_std,test_mrr_mean,test_mrr_std,valid_acc_mean,valid_acc_std,test_acc_mean,test_acc_std,hits_1_mean,hits_1_std,hits_3_mean,hits_3_std,hits_10_mean,hits_10_std,train_acc_mean,train_time_mean
qwen,sum,fb237_v1_ind,150,100,48,3,0.832767,0.010452,0.813267,0.017293,0.729433,0.020645,0.6989,0.032133,0.6989,0.032133,0.911267,0.009808,0.9762,0.0004,0.856767,153.833333
qwen,sum,fb237_v1_ind,100,100,96,3,0.830833,0.012141,0.824833,0.012285,0.7266,0.017972,0.718067,0.024544,0.718067,0.024544,0.922267,0.008203,0.982567,0.00273,0.867167,110.3
qwen,sum,fb237_v1_ind,75,100,96,3,0.8306,0.013919,0.8225,0.007645,0.7265,0.025421,0.711667,0.019713,0.711667,0.019713,0.920667,0.010929,0.985733,0.004905,0.876067,88.033333
qwen,sum,fb237_v1_ind,150,100,96,3,0.829467,0.01419,0.821633,0.010401,0.724967,0.030597,0.710133,0.021122,0.710133,0.021122,0.9144,0.001453,0.984167,0.009773,0.8764,155.833333
qwen,sum,fb237_v1_ind,75,100,80,3,0.828867,0.016342,0.8148,0.009714,0.726267,0.031863,0.6975,0.023654,0.6975,0.023654,0.919133,0.012859,0.9778,0.0028,0.8693,88.233333
qwen,sum,fb237_v1_ind,175,100,96,3,0.827667,0.021001,0.820667,0.013927,0.7266,0.035663,0.710033,0.030208,0.710033,0.030208,0.917633,0.006304,0.9809,0.012928,0.880733,176.666667
qwen,sum,fb237_v1_ind,100,100,64,3,0.827067,0.013184,0.818467,0.009173,0.723233,0.027951,0.702167,0.021828,0.702167,0.021828,0.928633,0.005412,0.981,0.012443,0.862267,111.033333
qwen,sum,fb237_v1_ind,200,100,96,3,0.826533,0.00831,0.808033,0.033716,0.7232,0.022801,0.688033,0.060525,0.688033,0.060525,0.9144,0.001453,0.9778,0.0028,0.866933,196.3
qwen,sum,fb237_v1_ind,50,100,80,3,0.826467,0.011679,0.821867,0.009815,0.7202,0.022491,0.707,0.019493,0.707,0.019493,0.9192,0.004371,0.987333,0.010974,0.8729,66.233333
qwen,sum,fb237_v1_ind,125,100,64,3,0.8264,0.004924,0.825267,0.01227,0.7199,0.015163,0.715067,0.02995,0.715067,0.02995,0.927067,0.010229,0.982533,0.010977,0.8652,130.933333
qwen,sum,fb237_v1_ind,100,100,48,3,0.8257,0.009115,0.8115,0.004139,0.7182,0.01765,0.692633,0.012183,0.692633,0.012183,0.9238,0.0108,0.9841,0.009998,0.867333,111.133333
qwen,sum,fb237_v1_ind,100,100,80,3,0.825433,0.014277,0.817,0.009398,0.718367,0.025684,0.702033,0.014145,0.702033,0.014145,0.920633,0.008568,0.984133,0.002977,0.8735,110.5
qwen,sum,fb237_v1_ind,125,100,80,3,0.825333,0.012537,0.825567,0.010531,0.719933,0.025389,0.716433,0.021985,0.716433,0.021985,0.919067,0.013674,0.977733,0.010228,0.87,132.133333
qwen,sum,fb237_v1_ind,150,100,64,3,0.825333,0.011902,0.8217,0.015339,0.721633,0.022982,0.711567,0.030629,0.711567,0.030629,0.9239,0.004397,0.981,0.004557,0.8635,154.633333
qwen,sum,fb237_v1_ind,125,100,48,3,0.825233,0.013512,0.819667,0.013344,0.719767,0.022922,0.706767,0.026567,0.706767,0.026567,0.9207,0.01255,0.980933,0.012669,0.852333,131.966667
qwen,sum,fb237_v1_ind,100,100,32,3,0.8252,0.012471,0.820733,0.010772,0.7214,0.028379,0.711667,0.019713,0.711667,0.019713,0.9223,0.007808,0.977733,0.014874,0.8545,95.166667
qwen,sum,fb237_v1_ind,75,100,64,3,0.824767,0.014155,0.819233,0.008105,0.7218,0.026374,0.7053,0.019452,0.7053,0.019452,0.920633,0.015464,0.984167,0.005493,0.874533,88.1
qwen,sum,fb237_v1_ind,125,100,32,3,0.824467,0.013301,0.818467,0.024226,0.719933,0.025389,0.7068,0.043123,0.7068,0.043123,0.920767,0.001856,0.979367,0.005499,0.8573,115.633333
qwen,sum,fb237_v1_ind,125,100,96,3,0.824267,0.0093,0.819,0.004104,0.7199,0.020247,0.7052,0.005151,0.7052,0.005151,0.9192,0.004371,0.984167,0.005493,0.880067,132.366667
qwen,sum,fb237_v1_ind,175,50,48,3,0.824167,0.007731,0.8045,0.009838,0.712767,0.01973,0.6784,0.021711,0.6784,0.021711,0.920667,0.006676,0.979433,0.009771,0.913567,177.4
qwen,sum,fb237_v1_ind,150,100,32,3,0.8241,0.012519,0.818267,0.01312,0.7135,0.019401,0.705367,0.024251,0.705367,0.024251,0.915967,0.004065,0.974667,0.005508,0.852067,136.166667
qwen,sum,fb237_v1_ind,175,100,64,3,0.823433,0.011952,0.815233,0.014514,0.714967,0.025278,0.697633,0.035918,0.697633,0.035918,0.922167,0.01579,0.979333,0.007545,0.871,174.9
qwen,sum,fb237_v1_ind,175,100,80,3,0.823367,0.013687,0.817333,0.003066,0.718367,0.025684,0.7022,0.011854,0.7022,0.011854,0.923833,0.014997,0.982533,0.007427,0.878733,175.266667
qwen,sum,fb237_v1_ind,50,100,96,3,0.822967,0.013771,0.8195,0.003219,0.7135,0.024134,0.7086,0.018194,0.7086,0.018194,0.9206,0.019128,0.976233,0.008214,0.8799,66.333333
qwen,sum,fb237_v1_ind,50,100,64,3,0.822433,0.014202,0.818633,0.012067,0.716933,0.025327,0.7068,0.026618,0.7068,0.026618,0.911167,0.010993,0.984167,0.005493,0.876033,66.566667
qwen,sum,fb237_v1_ind,200,100,64,3,0.822367,0.007541,0.823,0.013857,0.713167,0.012456,0.713233,0.029569,0.713233,0.029569,0.925433,0.012552,0.977733,0.010228,0.869667,196.466667
qwen,sum,fb237_v1_ind,175,100,32,3,0.822367,0.015358,0.8221,0.013787,0.716933,0.025327,0.7117,0.026728,0.7117,0.026728,0.9159,0.012799,0.980967,0.008266,0.858833,155.933333
qwen,sum,fb237_v1_ind,200,100,48,3,0.822267,0.009168,0.814867,0.014041,0.7135,0.019401,0.699133,0.030922,0.699133,0.030922,0.927133,0.013721,0.985767,0.004606,0.862333,194.133333
qwen,sum,fb237_v1_ind,175,100,48,3,0.822067,0.007808,0.819533,0.007135,0.7099,0.015025,0.706867,0.014949,0.706867,0.014949,0.9192,0.004107,0.980933,0.017312,0.8667,175.7
qwen,sum,fb237_v1_ind,200,100,32,3,0.821967,0.012759,0.817833,0.006307,0.7134,0.025549,0.7052,0.012964,0.7052,0.012964,0.915933,0.010971,0.977733,0.016928,0.859167,172.166667
qwen,sum,fb237_v1_ind,200,100,80,3,0.8219,0.015596,0.819,0.0143,0.716933,0.025327,0.703733,0.032881,0.703733,0.032881,0.9206,0.015844,0.979367,0.005499,0.876567,197.533333
qwen,sum,fb237_v1_ind,50,100,32,3,0.8217,0.017252,0.812267,0.018371,0.716567,0.030437,0.6973,0.030657,0.6973,0.030657,0.911167,0.00872,0.9825,0.005804,0.861,58
qwen,sum,fb237_v1_ind,150,50,96,3,0.821233,0.013024,0.7963,0.007783,0.7092,0.026579,0.665767,0.022404,0.665767,0.022404,0.917533,0.012877,0.979367,0.003092,0.924733,155.6
