model,aggregation,version,k,lambda,bias,n_seeds,valid_mrr_mean,valid_mrr_std,test_mrr_mean,test_mrr_std,valid_acc_mean,valid_acc_std,test_acc_mean,test_acc_std,hits_1_mean,hits_1_std,hits_3_mean,hits_3_std,hits_10_mean,hits_10_std,train_acc_mean,train_time_mean
roberta,sum,fb237_v1_ind,200,100,64,3,0.823333,0.002843,0.806467,0.006881,0.714533,0.008709,0.678433,0.015039,0.678433,0.015039,0.9176,0.001572,0.985767,0.0045,0.862167,217.533333
roberta,sum,fb237_v1_ind,200,100,32,3,0.8229,0.004689,0.812833,0.002082,0.719967,0.009268,0.692533,0.003265,0.692533,0.003265,0.922367,0.004517,0.987433,0.009672,0.8473,179.333333
roberta,sum,fb237_v1_ind,75,100,64,3,0.822367,0.008315,0.812,0.009277,0.715067,0.023368,0.684733,0.015938,0.684733,0.015938,0.9302,0.010795,0.9874,0.007104,0.8585,93.333333
roberta,sum,fb237_v1_ind,200,100,80,3,0.821667,0.009014,0.8165,0.001868,0.711533,0.02018,0.6957,0.0052,0.6957,0.0052,0.924,0.007036,0.9842,0.006972,0.867233,215.966667
roberta,sum,fb237_v1_ind,175,100,80,3,0.8213,0.008169,0.812033,0.005937,0.712533,0.018651,0.684567,0.00967,0.684567,0.00967,0.925567,0.004336,0.9842,0.006972,0.869833,193.266667
roberta,sum,fb237_v1_ind,50,100,80,3,0.821033,0.009891,0.8064,0.008067,0.711567,0.025311,0.676867,0.01556,0.676867,0.01556,0.9224,0.005925,0.987333,0.002574,0.8719,68.4
roberta,sum,fb237_v1_ind,125,100,16,3,0.8206,0.005575,0.8055,0.012901,0.717633,0.012796,0.684867,0.026145,0.684867,0.026145,0.9112,0.026401,0.9779,0.009514,0.8334,93.7
roberta,sum,fb237_v1_ind,150,100,32,3,0.820433,0.008649,0.820367,0.014617,0.717967,0.024215,0.707167,0.031315,0.707167,0.031315,0.920633,0.008568,0.9826,0.007139,0.827867,133.733333
roberta,sum,fb237_v1_ind,100,100,32,3,0.8202,0.002835,0.8123,0.007539,0.7113,0.013803,0.689267,0.014145,0.689267,0.014145,0.923967,0.004148,0.985833,0.008113,0.8481,97.166667
roberta,sum,fb237_v1_ind,100,100,80,3,0.820067,0.009579,0.811567,0.005147,0.7078,0.023943,0.6862,0.00781,0.6862,0.00781,0.927133,0.009555,0.9826,0.005197,0.8677,120.333333
roberta,sum,fb237_v1_ind,150,100,16,3,0.819967,0.004329,0.802367,0.01068,0.718333,0.015647,0.6832,0.019154,0.6832,0.019154,0.9049,0.004328,0.9764,0.016284,0.822133,111.266667
