model,aggregation,version,k,lambda,bias,seed,valid_acc,test_acc,train_acc,valid_mrr,test_mrr,hits_1,hits_3,hits_10,train_time,convergence
roberta,sum,fb237_v2_ind_seed7001,50,1.0,16,7001,0.5662,0.5864,0.9154,0.7145,0.7246,0.5864,0.8337,0.9467,149.8,Reach max iteration 50 | best_iter=50
roberta,sum,fb237_v2_ind_seed7005,50,1.0,16,7005,0.6126,0.5693,0.9123,0.748,0.7238,0.5693,0.8529,0.9454,139.4,Reach max iteration 50 | best_iter=49
roberta,sum,fb237_v2_ind_seed7009,50,1.0,16,7009,0.546,0.5539,0.9144,0.7087,0.707,0.5539,0.8254,0.9375,135.6,Reach max iteration 50 | best_iter=48
roberta,sum,fb237_v2_ind_seed7001,50,1.0,32,7001,0.5835,0.5778,0.9154,0.7292,0.7269,0.5778,0.8614,0.9488,139.2,Reach max iteration 50 | best_iter=40
roberta,sum,fb237_v2_ind_seed7005,50,1.0,32,7005,0.6126,0.6071,0.7882,0.7312,0.7344,0.6071,0.8361,0.916,137.7,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v2_ind_seed7009,50,1.0,32,7009,0.5546,0.5841,0.8493,0.7088,0.7187,0.5841,0.8276,0.9138,139.2,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v2_ind_seed7001,50,1.0,48,7001,0.6161,0.6119,0.8253,0.7508,0.7448,0.6119,0.8486,0.951,136.7,Reach max iteration 50 | best_iter=3
roberta,sum,fb237_v2_ind_seed7005,50,1.0,48,7005,0.5916,0.5735,0.9123,0.7395,0.7234,0.5735,0.855,0.937,140.1,Reach max iteration 50 | best_iter=43
roberta,sum,fb237_v2_ind_seed7009,50,1.0,48,7009,0.561,0.569,0.8515,0.7111,0.7069,0.569,0.8082,0.9116,139.5,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v2_ind_seed7001,50,1.0,64,7001,0.5879,0.5928,0.9154,0.729,0.73,0.5928,0.8443,0.9403,138.5,Reach max iteration 50 | best_iter=50
roberta,sum,fb237_v2_ind_seed7005,50,1.0,64,7005,0.6337,0.6155,0.8464,0.7581,0.7442,0.6155,0.8571,0.9349,139.0,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v2_ind_seed7009,50,1.0,64,7009,0.546,0.5517,0.9144,0.7031,0.7006,0.5517,0.8233,0.9332,141.6,Reach max iteration 50 | best_iter=34
roberta,sum,fb237_v2_ind_seed7001,50,1.0,80,7001,0.603,0.5949,0.7283,0.7337,0.7213,0.5949,0.8188,0.9211,140.0,Reach max iteration 50 | best_iter=1
roberta,sum,fb237_v2_ind_seed7005,50,1.0,80,7005,0.6189,0.5987,0.8713,0.7507,0.7433,0.5987,0.8761,0.9328,139.3,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v2_ind_seed7009,50,1.0,80,7009,0.561,0.6099,0.826,0.7114,0.733,0.6099,0.8276,0.9267,138.2,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v2_ind_seed7001,50,1.0,96,7001,0.6117,0.629,0.8395,0.7531,0.7561,0.629,0.8593,0.9531,138.4,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v2_ind_seed7005,50,1.0,96,7005,0.6084,0.6155,0.8889,0.7523,0.7495,0.6155,0.8718,0.9433,137.0,Reach max iteration 50 | best_iter=4
roberta,sum,fb237_v2_ind_seed7009,50,1.0,96,7009,0.5996,0.5776,0.7289,0.7303,0.705,0.5776,0.8017,0.9138,139.0,Reach max iteration 50 | best_iter=1
roberta,sum,fb237_v2_ind_seed7001,50,5.0,16,7001,0.603,0.5991,0.9154,0.7513,0.7431,0.5991,0.8678,0.9595,140.9,Reach max iteration 50 | best_iter=37
roberta,sum,fb237_v2_ind_seed7005,50,5.0,16,7005,0.6337,0.5903,0.9121,0.7651,0.7408,0.5903,0.8739,0.958,140.7,Reach max iteration 50 | best_iter=32
roberta,sum,fb237_v2_ind_seed7009,50,5.0,16,7009,0.5589,0.556,0.913,0.7148,0.7136,0.556,0.8427,0.9526,139.4,Reach max iteration 50 | best_iter=5
roberta,sum,fb237_v2_ind_seed7001,50,5.0,32,7001,0.6226,0.5864,0.9149,0.7583,0.7363,0.5864,0.8699,0.9595,141.8,Reach max iteration 50 | best_iter=22
roberta,sum,fb237_v2_ind_seed7005,50,5.0,32,7005,0.64,0.5756,0.9121,0.7683,0.7361,0.5756,0.895,0.9496,140.6,Reach max iteration 50 | best_iter=49
roberta,sum,fb237_v2_ind_seed7009,50,5.0,32,7009,0.5782,0.5754,0.9142,0.7274,0.7229,0.5754,0.8491,0.9397,139.7,Reach max iteration 50 | best_iter=41
